Unnamed: 0,Book,Author,Description,Genres,Avg_Rating,Num_Ratings,URL
1,"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",J.K. Rowling,"Harry Potter thinks he is an ordinary boy - until he is rescued by an owl, taken to Hogwarts School of Witchcraft and Wizardry, learns to play Quidditch and does battle in a deadly duel. The Reason ... HARRY POTTER IS A WIZARD!","Fantasy, Fiction, Young Adult, Magic, Childrens, Middle Grade, Classics",4.47,9278135,https://www.goodreads.com/book/show/72193.Harry_Potter_and_the_Philosopher_s_Stone
8608,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Could you survive on your own in the wild, with every one out to make sure you don't live to see the morning?In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and one girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV.Sixteen-year-old Katniss Everdeen, who lives alone with her mother and younger sister, regards it as a death sentence when she steps forward to take her sister's place in the Games. But Katniss has been close to dead before—and survival, for her, is second nature. Without really meaning to, she becomes a contender. But if she is to win, she will have to start making choices that weight survival against humanity and life against love.","Young Adult, Fiction, Dystopia, Fantasy, Science Fiction, Romance, Adventure",4.33,7963186,https://www.goodreads.com/book/show/12187803-the-hunger-games
6275,"Hungerspelen (The Hunger Games, #1)",Suzanne Collins,"24 deltagare. Bara en överlever. Varje år direktsänds Hungerspelen som en av de största mediala händelserna. Från varje distrikt väljs två ungdomar mellan tolv och arton ut att delta. De lottas fram, och skickas omedelbart till huvudstaden där de ska stajlas, tränas och visas upp i direktsända intervjuer. De måste se till att vinna folkets gunst för att få sponsorer. Varje år konstrueras en ny spelplats där ungdomarna släpps ut. Men bara den som överlever får åka hem! Katniss Everdeen är fjorton år. Hon älskar sin lillasyster Prim över allt annat, och försöker skydda henne från allt hemskt i distrikt tolv, men mot Hungerspelen har hon inget skydd. Det namn som dras i lottningen i distrikt tolv är Primrose Everdeen, och Katniss ser ingen annan utväg än att själv ta Prims plats i spelen... Suzanne Collins har skrivit en gastkramande framtidsroman om liv och död. men det är lika mycket en roman om vår tids television - som är grym, rå, falsk och egentligen bara handlar om en sak - tittarsiffror.","Young Adult, Fiction, Dystopia, Fantasy, Science Fiction, Romance, Adventure",4.33,7963186,https://www.goodreads.com/book/show/13616052-hungerspelen
4894,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. Long ago the districts waged war on the Capitol and were defeated. As part of the surrender terms, each district agreed to send one boy and one girl to appear in an annual televised event called, ""The Hunger Games,"" a fight to the death on live TV. Sixteen-year-old Katniss Everdeen, who lives alone with her mother and younger sister, regards it as a death sentence when she is forced to represent her district in the Games. The terrain, rules, and level of audience participation may change but one thing is constant: kill or be killed.","Young Adult, Fiction, Dystopia, Fantasy, Science Fiction, Romance, Adventure",4.33,7963186,https://www.goodreads.com/book/show/18626858-the-hunger-games
4868,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Sometime in the future after the destruction of North America in a nation known as Panem, the 74th Hunger Games begins. As punishment for a previous rebellion against the Capitol, every year, one boy and one girl between the ages of 12 and 18 from each district are selected by lottery and forced to participate in the Hunger Games, a televised event in which the participants, or ""tributes,"" must fight to the death in a dangerous, outdoor arena, controlled by the Capitol, until only one remains. The difference this year is District 12 has had it's first volunteer probably in the whole history of the District... Katniss Everdeen, who volunteered to take the place of her younger sister, Prim; and she's already making an impression.","Young Adult, Fiction, Dystopia, Fantasy, Science Fiction, Romance, Adventure",4.33,7963186,https://www.goodreads.com/book/show/12091570-the-hunger-games
21,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Could you survive on your own in the wild, with every one out to make sure you don't live to see the morning?In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and one girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV.Sixteen-year-old Katniss Everdeen, who lives alone with her mother and younger sister, regards it as a death sentence when she steps forward to take her sister's place in the Games. But Katniss has been close to dead before—and survival, for her, is second nature. Without really meaning to, she becomes a contender. But if she is to win, she will have to start making choices that weight survival against humanity and life against love.","Young Adult, Fiction, Dystopia, Fantasy, Science Fiction, Romance, Adventure",4.33,7963002,https://www.goodreads.com/book/show/2767052-the-hunger-games
77,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,"About three things I was absolutely positive.First, Edward was a vampire.Second, there was a part of him—and I didn't know how dominant that part might be—that thirsted for my blood.And third, I was unconditionally and irrevocably in love with him.Deeply seductive and extraordinarily suspenseful, Twilight is a love story with bite.","Fantasy, Young Adult, Romance, Fiction, Vampires, Paranormal, Paranormal Romance",3.64,6158643,https://www.goodreads.com/book/show/41865.Twilight
0,To Kill a Mockingbird,Harper Lee,"The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it. ""To Kill A Mockingbird"" became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.Compassionate, dramatic, and deeply moving, ""To Kill A Mockingbird"" takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.","Classics, Fiction, Historical Fiction, School, Literature, Young Adult, Historical",4.27,5691311,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird
7,The Great Gatsby,F. Scott Fitzgerald,"Alternate Cover Edition ISBN: 0743273567 (ISBN13: 9780743273565)The Great Gatsby, F. Scott Fitzgerald's third book, stands as the supreme achievement of his career. This exemplary novel of the Jazz Age has been acclaimed by generations of readers. The story of the fabulously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan, of lavish parties on Long Island at a time when The New York Times noted ""gin was the national drink and sex the national obsession,"" it is an exquisitely crafted tale of America in the 1920s.The Great Gatsby is one of the great classics of twentieth-century literature.(from the back cover)","Classics, Fiction, School, Historical Fiction, Literature, Romance, Novels",3.93,4839642,https://www.goodreads.com/book/show/4671.The_Great_Gatsby
106,The Fault in Our Stars,John Green,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.Insightful, bold, irreverent, and raw, The Fault in Our Stars is award-winning author John Green's most ambitious and heartbreaking work yet, brilliantly exploring the funny, thrilling, and tragic business of being alive and in love.","Young Adult, Romance, Fiction, Contemporary, Realistic Fiction, Teen, Coming Of Age",4.15,4762958,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars
